#;H1;H2;H3;H4;H5;H6;H7;M1;M2;M3;M4;M5;M6;L1;L2;L3;L4;L5;L6;L7
00079;2;4;5;7;18;21;22;31;36;40;42;45;52;53;56;57;58;66;67;69
00080;1;2;7;10;15;16;20;26;28;43;45;47;49;52;55;57;58;60;65;67
00081;3;7;17;23;25;26;27;30;33;38;39;41;42;43;44;50;56;59;61;69
00082;13;14;15;19;21;23;24;25;29;34;37;39;47;52;53;55;59;64;65;70
00083;2;6;8;12;15;17;26;27;37;38;42;45;53;54;55;59;60;64;65;66
00084;2;4;5;8;18;23;27;29;31;32;33;34;37;42;49;50;57;58;59;61
00085;7;8;15;25;31;32;37;39;40;42;44;46;47;49;50;51;52;59;63;66
00086;3;4;5;7;8;11;12;14;22;25;30;32;36;37;41;44;48;54;62;65
00087;1;11;15;18;19;20;21;26;29;31;33;34;38;44;49;51;52;55;62;69
00088;2;4;5;10;11;17;24;26;27;32;35;37;38;39;49;53;64;65;69;70
00089;1;9;10;19;23;30;32;36;39;40;41;45;47;49;52;57;58;60;61;69
00090;8;17;20;24;26;27;29;30;32;33;35;41;48;55;56;58;59;65;68;69
00091;2;3;4;7;9;13;16;19;22;24;28;35;37;45;46;56;57;64;66;67
00092;4;5;6;9;18;21;27;28;33;37;39;45;49;50;53;57;64;65;66;70
00093;7;10;11;17;18;20;22;26;27;28;34;37;39;40;42;48;52;58;62;69
00094;1;2;4;5;8;10;11;20;21;25;29;33;36;40;44;50;51;57;60;61
00095;2;3;5;13;20;21;27;28;33;34;36;48;49;50;53;54;55;56;60;70
00096;2;4;6;11;12;13;17;18;26;29;31;34;36;40;43;47;52;53;56;60
00097;4;8;12;13;21;22;23;24;26;31;32;33;35;38;41;45;50;54;57;70
00098;5;6;8;9;17;20;26;31;35;39;45;52;54;58;59;60;61;65;66;67
00099;4;6;10;11;12;18;23;25;26;28;29;30;31;34;36;41;45;46;55;64
00100;2;4;9;16;20;21;22;25;28;35;36;38;49;51;52;56;58;64;66;68
00101;1;2;10;14;15;17;19;20;23;35;38;41;44;46;47;52;56;60;66;67
00102;2;4;10;11;19;20;22;23;24;25;29;32;33;34;38;41;47;58;64;65
00103;1;2;3;5;10;15;16;17;19;22;23;26;28;29;30;39;40;55;58;63
00104;4;11;13;16;20;25;28;29;35;39;42;44;47;53;59;60;65;67;68;70
00105;4;11;15;16;19;26;29;32;34;35;40;45;49;51;53;63;64;66;67;68
00106;4;6;8;11;15;17;20;29;30;34;39;44;45;46;47;48;49;52;67;70
00107;2;4;6;8;15;17;19;20;22;23;33;34;36;37;41;43;47;49;50;53
00108;3;4;5;7;9;10;12;18;20;21;26;28;39;47;48;53;57;64;65;68
00109;2;5;6;7;12;19;20;24;27;29;31;36;38;39;40;42;52;55;57;70
00110;5;8;10;12;15;16;17;18;26;30;35;44;45;49;52;53;62;65;66;69
00111;2;6;7;12;13;21;30;33;41;43;47;48;49;52;57;59;63;64;65;67
00112;10;13;14;20;21;24;27;28;29;32;33;35;38;39;42;45;46;52;53;67
00113;4;8;13;14;16;22;26;28;30;31;39;43;44;50;57;63;66;67;68;69
00114;7;8;13;16;18;21;28;32;33;40;41;44;45;46;53;54;55;62;63;68
00115;13;17;19;25;26;29;31;35;37;38;45;46;50;56;58;60;61;67;69;70
00116;2;3;5;18;20;22;23;24;30;31;34;35;38;42;45;48;56;61;64;67
00117;1;6;10;16;21;24;26;28;32;38;41;42;47;49;50;55;58;61;65;67
00118;5;6;12;13;17;18;30;31;37;38;40;41;43;44;45;46;49;52;56;59
00119;2;4;5;9;13;15;18;19;38;40;41;44;49;52;56;57;60;61;62;64
00120;1;3;6;8;9;15;16;18;20;27;34;37;47;49;51;55;62;63;64;70
00121;2;3;10;19;20;21;28;31;32;33;39;47;48;54;59;61;62;66;67;68
00122;1;11;12;16;22;23;26;28;29;35;41;45;46;56;57;58;61;62;69;70
00123;5;7;11;12;16;20;21;25;28;30;32;43;44;46;47;50;59;66;69;70
00124;2;4;6;15;20;23;28;29;31;32;38;46;47;51;54;60;61;64;65;66
00125;2;6;9;12;15;20;27;29;31;39;43;44;47;52;53;56;58;59;60;62
00126;10;12;13;24;29;30;33;38;44;45;46;48;49;51;56;58;62;64;69;70
00127;8;10;11;21;22;24;27;33;36;38;39;43;45;50;55;56;60;61;64;65
00128;3;5;6;8;16;18;19;22;27;28;29;32;37;48;50;56;57;59;67;70
00129;4;10;14;15;19;26;27;28;32;34;42;43;44;52;54;59;60;68;69;70
00130;8;11;18;19;20;22;23;27;29;30;32;34;36;45;50;51;54;59;63;65
00131;1;4;5;6;7;11;20;29;30;32;40;42;47;50;53;54;55;58;64;68
00132;1;3;8;11;14;22;27;29;32;38;41;44;49;51;52;55;60;65;66;70
00133;5;6;8;15;16;19;25;26;28;30;35;37;42;46;49;50;54;58;64;68
00134;1;5;7;12;14;18;20;22;25;29;35;38;42;48;49;54;57;59;62;64
00135;1;2;10;11;12;13;14;16;20;28;35;39;40;43;51;54;56;59;68;69
00136;3;4;7;11;15;20;22;23;28;29;30;31;42;50;52;58;59;62;66;70
00137;16;17;23;24;25;26;27;30;31;33;35;37;39;50;54;59;60;65;69;70
00138;2;11;12;14;15;17;19;28;33;36;43;47;48;53;54;57;59;62;65;67
00139;5;6;13;15;19;21;26;28;36;37;38;41;44;49;53;55;62;63;67;68
00140;1;3;6;16;21;33;38;39;41;42;44;45;47;49;50;51;52;54;58;59
00141;2;6;7;14;16;18;24;27;31;34;36;43;44;47;52;53;61;63;65;67
00142;5;7;8;13;14;18;19;20;21;31;36;37;47;50;51;53;56;61;64;68
00143;5;6;7;8;9;10;20;24;26;31;34;37;38;48;49;59;61;62;64;66
00144;3;6;11;12;19;23;30;35;38;49;53;56;57;58;59;60;64;66;68;69
00145;2;5;7;10;11;12;16;22;23;25;27;29;43;53;62;65;66;67;68;70
00146;12;13;14;16;18;21;25;27;34;35;39;40;44;51;56;59;67;68;69;70
00147;5;10;20;23;28;31;33;42;48;50;51;52;56;57;58;60;63;66;68;70
00148;4;11;18;20;25;26;27;29;37;39;42;43;44;46;48;49;59;61;63;64
00149;3;4;11;19;20;23;25;34;36;38;40;43;46;52;53;57;58;66;67;69
00150;4;5;12;13;20;23;27;42;43;44;47;48;49;52;55;57;63;65;66;70
00151;1;3;5;9;13;18;23;24;30;31;38;48;55;56;58;61;62;64;65;67
00152;2;8;11;16;18;23;29;32;35;38;41;43;46;53;54;57;63;64;66;70
00153;3;14;17;20;21;25;28;30;31;32;37;40;41;47;50;51;53;57;58;70
00154;2;3;4;6;21;25;27;36;46;51;54;56;57;61;62;63;64;67;69;70
00155;5;10;11;14;16;17;19;22;23;24;28;33;36;41;46;49;56;57;65;67
00156;2;3;12;15;17;18;20;27;28;29;30;31;33;38;41;45;50;55;61;66
00157;2;3;7;9;12;14;26;28;30;33;46;47;48;54;58;59;61;62;65;69
00158;2;14;15;16;18;19;20;25;28;30;38;39;44;46;50;55;57;61;62;65
00159;6;7;10;16;26;27;29;31;32;38;39;45;47;51;54;55;64;66;69;70
00160;7;8;15;16;20;21;24;26;30;41;43;46;48;53;55;59;60;65;66;70
00161;1;12;22;23;27;30;33;38;45;46;47;51;52;56;58;59;63;64;66;67
00162;1;6;9;15;16;17;20;24;30;33;36;37;42;44;47;50;52;53;66;68
00163;1;2;5;10;11;14;17;21;22;23;24;36;40;42;48;50;52;60;67;68
00164;3;6;9;11;16;21;23;26;27;33;34;46;50;53;55;60;63;66;68;70
00165;3;5;8;11;13;15;17;23;24;37;40;45;47;49;51;53;58;59;64;69
00166;3;7;8;9;12;15;19;23;32;34;39;44;45;51;57;60;65;66;68;69
00167;2;7;8;9;19;20;25;26;29;32;36;40;47;49;51;56;58;62;63;68
00168;2;3;4;5;15;20;23;32;33;35;40;46;50;55;56;58;60;61;64;67
00169;2;4;6;10;12;22;24;29;33;35;36;38;46;54;56;57;58;64;66;68
00170;3;8;10;15;20;24;27;28;33;34;37;41;46;56;60;63;65;67;68;69
00171;4;5;8;11;16;24;25;29;35;40;42;43;44;48;49;51;52;57;58;66
00172;2;3;6;9;12;14;16;18;24;31;39;40;45;47;48;58;61;67;68;70
00173;2;7;9;11;19;21;30;31;33;34;36;37;38;39;40;46;47;48;50;53
00174;4;7;12;17;24;26;27;28;30;37;49;52;55;56;59;62;63;64;67;68
00175;1;2;7;11;21;22;23;27;28;29;30;36;40;41;50;51;53;60;61;66
00176;6;7;8;12;16;20;21;22;24;26;29;32;34;36;39;44;55;57;64;65
00177;2;3;4;17;20;21;22;23;24;25;26;32;35;41;44;46;57;63;67;70
00178;1;2;3;7;11;15;22;29;33;39;47;48;50;55;57;62;63;64;66;70
00179;3;4;5;6;11;14;18;21;24;36;37;44;46;49;58;60;61;67;68;70
00180;2;4;6;8;9;12;18;23;24;29;33;35;37;47;53;56;63;64;65;67
00181;2;5;9;17;18;22;32;33;39;40;43;47;49;51;53;56;60;62;63;70
00182;1;2;7;12;14;20;22;25;27;30;31;36;38;42;43;49;53;57;68;69
00183;4;10;12;15;24;25;27;29;36;43;44;50;51;53;55;56;61;63;66;70
00184;4;12;18;22;26;33;36;38;40;41;43;53;56;57;59;61;62;65;69;70
00185;2;4;5;6;7;15;18;19;20;23;25;29;31;32;37;38;41;46;50;51
00186;2;4;5;14;15;21;24;25;28;40;43;44;46;49;52;54;56;58;62;66
00187;2;10;12;15;16;19;26;31;32;34;37;40;44;45;50;53;56;59;60;64
00188;8;9;11;12;14;15;22;29;31;34;36;41;43;45;46;48;54;60;67;68
00189;1;2;6;9;11;29;33;35;37;45;47;48;58;59;61;63;64;65;67;70
00190;2;4;5;8;14;15;16;19;25;26;31;35;40;41;46;52;56;63;67;69
00191;1;10;11;16;18;21;25;27;30;37;46;48;50;51;54;55;57;58;65;67
00192;2;11;12;20;21;22;25;26;31;34;36;37;38;52;54;57;60;61;62;70
00193;8;10;11;14;16;17;19;35;36;37;40;42;44;48;50;57;60;61;62;69
00194;6;10;14;16;19;21;23;25;26;29;32;36;38;40;45;47;50;52;53;66
00195;2;4;6;7;9;13;15;18;21;27;30;32;42;43;45;46;48;58;59;68
00196;3;8;10;13;15;22;27;29;34;38;39;45;50;53;54;55;59;61;62;70
00197;3;4;7;14;15;22;23;25;26;31;32;35;41;42;44;48;51;52;54;62
00198;6;8;10;11;15;19;20;21;35;39;41;43;45;47;55;56;62;67;68;70
00199;3;13;17;21;23;25;28;29;32;35;36;42;46;47;52;53;57;63;66;68
00200;1;2;4;6;13;17;19;20;24;36;41;42;43;45;54;55;56;66;69;70
00201;4;11;18;22;23;26;30;33;34;37;38;45;49;54;56;58;60;61;62;65
00202;1;5;9;12;16;17;22;24;27;31;35;36;40;44;46;48;60;62;65;66
00203;1;4;5;7;13;14;16;22;23;25;27;30;40;44;51;54;59;62;65;68
00204;1;6;17;21;22;27;29;30;31;36;43;47;48;50;51;54;57;60;61;65
00205;1;5;8;9;15;21;22;26;34;41;49;50;52;53;54;55;60;63;66;67
00206;8;13;15;18;19;25;26;27;28;29;33;38;45;49;54;55;56;58;59;64
00207;5;6;8;15;19;20;22;25;33;35;36;41;50;53;54;57;61;64;67;70
00208;5;6;8;9;10;11;12;15;16;21;28;44;46;48;49;58;62;63;65;70
00209;7;11;12;15;17;22;29;34;35;37;40;45;46;48;49;59;63;66;68;70
00210;2;4;8;12;17;19;25;30;31;32;35;36;41;44;47;55;56;59;60;61
00211;1;7;10;13;15;21;25;29;34;35;44;45;48;50;51;56;58;61;67;70
00212;3;8;11;13;17;20;21;23;29;31;37;38;39;40;44;45;54;55;57;58
00213;4;8;17;27;28;31;32;33;37;39;41;42;44;46;55;56;57;62;63;70
00214;2;8;15;16;22;23;28;30;33;39;41;45;47;49;50;54;56;61;64;69
00215;2;4;7;10;16;19;22;27;31;34;35;36;41;42;50;51;53;59;61;63
00216;3;13;15;21;22;23;28;29;37;39;41;44;45;47;52;56;64;66;67;68
00217;3;4;20;21;25;27;32;35;38;41;42;44;46;47;52;53;62;65;68;70
00218;9;10;13;14;16;17;25;28;31;34;35;37;44;52;57;60;61;62;64;70
00219;1;2;4;6;7;10;14;21;24;32;34;36;52;54;56;61;63;66;68;70
00220;5;6;7;8;11;15;17;21;22;23;24;25;42;44;45;50;59;61;66;69
00221;5;18;27;31;33;34;37;40;42;43;48;49;51;55;57;62;63;68;69;70
00222;1;3;5;8;12;13;15;16;17;18;24;29;32;34;41;54;58;61;62;66
00223;1;3;14;16;18;22;24;27;29;33;41;46;47;50;53;57;59;62;63;65
00224;8;11;14;16;27;30;31;34;36;43;44;47;49;50;52;62;63;66;69;70
00225;3;12;18;23;24;26;27;31;34;36;41;43;45;50;58;61;63;66;67;70
00226;15;17;18;21;23;25;28;30;33;34;37;41;43;44;46;51;52;54;61;63
00227;1;3;9;12;15;17;23;25;27;30;31;34;40;48;52;56;57;59;60;67
00228;1;4;8;13;15;18;22;27;38;39;40;41;42;47;54;56;59;66;67;69
00229;2;3;4;9;13;18;20;21;28;35;36;40;46;47;49;51;57;63;66;69
00230;3;5;8;10;11;22;23;24;30;31;33;45;46;48;49;55;56;64;69;70
00231;1;7;12;19;22;27;28;29;30;34;35;37;38;44;47;50;54;60;65;67
00232;1;4;6;7;10;20;29;30;39;43;45;46;48;49;50;57;60;64;66;69
00233;1;3;9;10;13;14;15;19;30;34;36;38;40;42;51;52;60;61;63;69
00234;3;9;10;15;16;24;32;33;36;42;46;49;50;53;58;61;63;64;65;69
00235;6;9;10;14;26;28;29;31;32;34;35;36;45;46;62;63;64;65;66;70
00236;1;9;11;12;16;20;22;29;31;34;36;37;45;46;47;48;55;56;60;63
00237;6;24;27;28;29;33;38;40;42;43;46;49;51;53;56;58;61;65;66;67
00238;2;8;9;10;11;13;14;16;18;25;27;34;37;38;49;52;61;62;65;66
00239;3;4;8;10;13;19;20;24;26;28;31;32;35;41;46;51;52;58;64;69
00240;2;3;6;11;23;24;30;36;39;42;53;55;58;61;62;63;65;68;69;70
00241;1;7;14;15;18;25;31;33;36;39;45;49;55;56;57;59;61;63;65;67
00242;6;8;13;16;21;24;29;30;32;35;38;39;40;45;53;54;55;60;67;70
00243;9;16;17;25;29;32;33;36;37;38;43;46;48;50;51;52;54;57;64;68
00244;3;9;12;15;16;19;25;26;38;41;42;46;48;54;57;63;64;66;67;70
00245;4;7;21;23;24;25;30;35;38;42;49;53;54;55;57;60;62;64;67;68
00246;1;2;10;18;20;23;30;36;37;43;44;45;48;51;53;59;60;64;65;68
00247;2;6;11;19;20;23;26;27;29;40;41;42;45;50;51;52;53;62;67;70
00248;1;4;8;11;14;15;20;25;29;30;35;40;44;49;53;57;58;62;64;70
00249;1;3;8;12;18;21;27;34;36;38;42;43;53;59;60;63;64;65;67;68
00250;4;5;8;10;12;16;24;27;32;35;36;38;43;49;55;59;60;62;67;69
00251;3;7;11;23;25;27;29;30;31;32;39;40;45;46;47;53;65;67;68;70
00252;1;5;10;12;13;15;19;20;24;25;31;37;39;40;41;47;58;59;62;69
00253;1;6;11;12;16;22;29;31;36;38;40;43;44;45;57;58;61;63;69;70
00254;3;5;6;14;17;18;19;20;21;23;24;28;29;32;34;46;53;62;65;69
00255;1;4;10;11;20;22;25;35;36;42;44;49;53;58;61;62;63;64;67;70
00256;4;12;13;15;22;26;29;33;34;37;38;41;43;47;49;52;58;61;63;69
00257;1;2;4;10;12;15;21;29;31;39;48;49;53;55;60;61;62;65;66;68
00258;5;16;25;26;27;29;37;38;39;41;44;47;48;50;54;56;57;59;65;70
00259;3;4;7;12;13;21;24;32;33;38;41;43;49;51;53;54;58;61;63;70
00260;2;9;13;14;19;20;22;31;34;37;42;44;49;52;57;58;61;62;65;67
00261;3;4;6;9;10;11;15;23;29;31;34;40;41;42;43;53;58;61;62;70
00262;3;10;13;14;15;16;21;26;28;30;31;32;34;38;43;44;48;51;55;56
00263;4;5;7;11;21;23;26;27;29;30;34;36;39;45;47;50;54;63;67;70
00264;4;6;9;11;14;18;24;30;36;38;40;42;45;49;57;58;60;64;66;68
00265;1;2;5;9;17;26;27;30;34;35;37;44;45;51;54;56;62;63;65;68
00266;3;6;7;8;11;16;18;28;36;46;50;51;52;55;58;61;66;67;68;70
00267;4;5;12;13;15;16;17;25;26;29;30;35;40;41;49;53;57;62;63;67
00268;1;5;9;11;12;20;27;28;30;35;37;45;46;47;50;51;52;58;65;70
00269;2;7;19;20;22;23;24;26;27;28;33;35;46;51;52;55;61;63;64;67
00270;5;7;8;11;13;15;18;20;22;30;31;33;38;40;42;44;49;65;66;67
00271;2;10;11;12;16;19;23;24;27;30;33;35;36;38;41;47;52;57;58;61
00272;2;3;10;11;12;13;14;17;20;25;26;28;41;42;51;55;58;64;65;68
00273;3;4;13;23;25;29;30;34;39;46;48;52;53;56;57;60;63;66;67;70
00274;13;18;23;30;32;33;38;46;47;53;54;56;58;60;61;66;67;68;69;70
00275;3;5;7;8;9;15;19;30;32;35;36;39;42;44;48;54;57;58;59;70
00276;1;2;9;12;14;15;17;19;25;35;39;40;41;48;52;58;59;61;62;65
00277;3;5;7;8;10;11;14;17;21;22;26;28;30;35;43;44;47;49;53;68
00278;1;8;10;11;18;19;20;22;23;24;39;40;45;46;47;52;57;64;65;66
00279;2;4;5;7;12;18;26;29;30;31;40;41;42;44;47;52;54;61;64;66
00280;6;10;11;13;16;24;27;29;33;36;37;41;43;50;53;55;63;64;65;66
00281;3;10;11;16;22;23;25;28;31;33;35;36;37;39;44;46;57;59;60;68
00282;5;8;9;17;22;28;32;33;35;43;44;49;50;52;53;56;57;59;64;65
00283;3;5;9;11;16;17;21;23;26;32;37;38;46;48;49;52;57;62;66;67
00284;2;3;4;8;17;18;19;25;26;30;32;34;35;36;42;47;56;59;61;65
00285;3;4;9;16;17;18;19;26;32;34;35;40;46;48;50;51;54;57;63;66
00286;2;5;10;13;17;25;26;27;28;33;35;38;41;42;45;48;49;65;66;68
00287;6;15;17;22;27;29;30;31;40;41;45;50;55;58;61;63;65;66;68;69
00288;6;9;18;19;34;37;40;41;44;47;49;52;53;56;57;58;59;62;63;69
00289;1;7;9;17;18;22;31;33;34;36;39;43;44;45;51;52;56;58;62;66
00290;2;3;4;10;12;16;19;20;21;22;23;29;37;38;49;54;55;57;58;66
00291;4;11;12;20;24;28;29;33;36;38;40;42;45;50;56;60;61;64;65;70
00292;3;6;7;8;9;17;21;22;24;40;43;47;48;49;56;57;58;65;66;69
00293;4;5;7;10;11;20;21;22;24;36;37;51;56;59;61;63;65;67;68;69
00294;1;2;6;11;14;18;19;24;25;28;31;32;33;41;46;47;50;59;61;62
00295;1;5;7;9;11;14;16;17;22;25;31;37;40;42;49;51;52;53;56;65
00296;3;5;7;9;12;16;18;22;23;24;25;29;36;42;45;46;51;54;63;67
00297;6;7;21;24;25;27;30;32;33;35;39;41;43;44;55;60;65;66;67;69
00298;7;12;13;15;17;24;26;37;41;42;43;45;51;52;53;56;60;61;62;68
00299;3;11;16;18;22;23;25;28;29;40;41;43;48;56;57;59;60;61;67;70
00300;4;9;13;15;17;20;21;22;31;38;45;48;49;51;53;57;59;61;64;65
00301;7;9;12;13;27;31;37;38;40;42;43;50;51;53;54;58;60;61;63;69
00302;2;5;8;13;15;26;27;30;31;35;37;42;45;46;51;53;59;62;63;64
00303;2;13;19;20;23;27;28;35;36;40;45;50;51;53;54;56;61;64;66;67
00304;2;5;7;12;13;14;23;24;26;31;40;42;47;49;52;55;63;64;67;70
00305;11;12;15;18;19;21;22;26;27;30;34;42;43;50;52;53;54;65;66;70
00306;5;6;13;14;18;24;27;30;31;32;37;38;42;44;48;50;53;65;68;70
00307;3;6;7;8;10;11;18;21;31;41;43;46;48;50;51;57;59;61;63;68
00308;1;2;4;16;21;26;27;29;36;37;38;40;41;49;52;56;57;58;64;65
00309;2;4;8;9;10;22;31;33;34;39;40;41;42;46;52;54;55;60;62;69
00310;2;4;7;8;9;16;22;29;31;35;36;41;42;44;49;51;55;59;63;68
00311;5;8;13;14;15;16;17;23;24;26;27;29;32;40;42;44;60;62;67;68
00312;8;10;11;18;21;24;25;30;35;39;42;46;47;50;51;53;63;66;67;69
00313;10;11;12;17;19;22;30;31;35;42;43;44;45;46;48;54;55;59;60;69
00314;4;5;9;10;14;16;20;25;29;31;35;37;42;43;52;55;57;64;67;68
00315;2;3;5;7;11;16;23;26;27;30;37;38;43;44;52;57;58;64;66;67
00316;3;6;7;20;24;25;28;29;35;39;44;45;49;53;55;58;60;61;64;65
00317;4;10;14;15;16;20;25;26;29;31;32;41;46;47;50;53;54;58;59;70
00318;6;9;10;18;20;23;24;27;33;43;46;50;51;56;57;64;67;68;69;70
00319;2;3;7;9;16;18;25;29;30;32;33;47;51;52;53;64;65;66;67;69
00320;5;6;7;8;10;12;24;28;29;30;35;45;47;48;50;59;60;62;63;68
00321;3;4;5;10;14;17;18;23;24;29;30;38;46;50;54;55;59;64;65;68
00322;2;3;4;7;9;18;21;25;28;31;39;44;46;50;59;60;63;68;69;70
